date|source|issue_title|related_content|keywords|description|source_url|image_url
2026-09-21|Netflix Top 10|My Secretary: My Genie Secretary 넷플릭스 한국 Top 10 4위|My Secretary|OTT,넷플릭스,신작,랭킹,My,Secretary,Genie,TV|Netflix 공식 국가별 주간 Top 10에서 한국 4위. 카테고리: TV. 누적 Top 10 진입 3주. 집계 주간: 2026-09-13.|https://www.netflix.com/unsupportedbrowser|
2026-09-21|Netflix Top 10|Hercules 넷플릭스 한국 Top 10 4위|Hercules|OTT,넷플릭스,신작,랭킹,Hercules,Films|Netflix 공식 국가별 주간 Top 10에서 한국 4위. 카테고리: Films. 누적 Top 10 진입 1주. 집계 주간: 2026-09-13.|https://www.netflix.com/unsupportedbrowser|
2026-09-21|Netflix Top 10|I'm SOLO, Love goes on: 2026 Part 2 넷플릭스 한국 Top 10 5위|I'm SOLO, Love goes on|OTT,넷플릭스,신작,랭킹,SOLO,Love,goes,on,2026,Part,TV|Netflix 공식 국가별 주간 Top 10에서 한국 5위. 카테고리: TV. 누적 Top 10 진입 5주. 집계 주간: 2026-09-13.|https://www.netflix.com/unsupportedbrowser|
2026-09-21|Netflix Top 10|Gandhari 넷플릭스 한국 Top 10 5위|Gandhari|OTT,넷플릭스,신작,랭킹,Gandhari,Films|Netflix 공식 국가별 주간 Top 10에서 한국 5위. 카테고리: Films. 누적 Top 10 진입 1주. 집계 주간: 2026-09-13.|https://www.netflix.com/unsupportedbrowser|
2026-09-21|Netflix Top 10|Choir of God: Anthem 넷플릭스 한국 Top 10 6위|Choir of God: Anthem|OTT,넷플릭스,신작,랭킹,Choir,of,God,Anthem,Films|Netflix 공식 국가별 주간 Top 10에서 한국 6위. 카테고리: Films. 누적 Top 10 진입 3주. 집계 주간: 2026-09-13.|https://www.netflix.com/unsupportedbrowser|
2026-09-21|Netflix Top 10|Badly in Love: Season 2 넷플릭스 한국 Top 10 6위|Badly in Love|OTT,넷플릭스,신작,랭킹,Badly,in,Love,Season,TV|Netflix 공식 국가별 주간 Top 10에서 한국 6위. 카테고리: TV. 누적 Top 10 진입 6주. 집계 주간: 2026-09-13.|https://www.netflix.com/unsupportedbrowser|
2026-09-21|Netflix Top 10|Anaconda 3: Offspring 넷플릭스 한국 Top 10 7위|Anaconda 3: Offspring|OTT,넷플릭스,신작,랭킹,Anaconda,Offspring,Films|Netflix 공식 국가별 주간 Top 10에서 한국 7위. 카테고리: Films. 누적 Top 10 진입 1주. 집계 주간: 2026-09-13.|https://www.netflix.com/unsupportedbrowser|
2026-09-21|Netflix Top 10|The Early Spring: Season 1 넷플릭스 한국 Top 10 7위|The Early Spring|OTT,넷플릭스,신작,랭킹,Early,Spring,Season,TV|Netflix 공식 국가별 주간 Top 10에서 한국 7위. 카테고리: TV. 누적 Top 10 진입 2주. 집계 주간: 2026-09-13.|https://www.netflix.com/unsupportedbrowser|
2026-09-21|Netflix Top 10|Take a Hike!: Season 1 넷플릭스 한국 Top 10 8위|Take a Hike!|OTT,넷플릭스,신작,랭킹,Take,Hike,Season,TV|Netflix 공식 국가별 주간 Top 10에서 한국 8위. 카테고리: TV. 누적 Top 10 진입 4주. 집계 주간: 2026-09-13.|https://www.netflix.com/unsupportedbrowser|
2026-09-21|Netflix Top 10|The Whisper Man 넷플릭스 한국 Top 10 8위|The Whisper Man|OTT,넷플릭스,신작,랭킹,Whisper,Man,Films|Netflix 공식 국가별 주간 Top 10에서 한국 8위. 카테고리: Films. 누적 Top 10 진입 3주. 집계 주간: 2026-09-13.|https://www.netflix.com/unsupportedbrowser|
2026-09-21|Netflix Top 10|Physical 100: Italy: Season 1 넷플릭스 한국 Top 10 9위|Physical 100: Italy|OTT,넷플릭스,신작,랭킹,Physical,100,Italy,Season,TV|Netflix 공식 국가별 주간 Top 10에서 한국 9위. 카테고리: TV. 누적 Top 10 진입 1주. 집계 주간: 2026-09-13.|https://www.netflix.com/unsupportedbrowser|
2026-09-21|Netflix Top 10|The Blind Side 넷플릭스 한국 Top 10 9위|The Blind Side|OTT,넷플릭스,신작,랭킹,Blind,Side,Films|Netflix 공식 국가별 주간 Top 10에서 한국 9위. 카테고리: Films. 누적 Top 10 진입 1주. 집계 주간: 2026-09-13.|https://www.netflix.com/unsupportedbrowser|
2026-09-21|Netflix Top 10|Anacondas: Trail of Blood 넷플릭스 한국 Top 10 10위|Anacondas: Trail of Blood|OTT,넷플릭스,신작,랭킹,Anacondas,Trail,of,Blood,Films|Netflix 공식 국가별 주간 Top 10에서 한국 10위. 카테고리: Films. 누적 Top 10 진입 2주. 집계 주간: 2026-09-13.|https://www.netflix.com/unsupportedbrowser|
2026-09-21|Netflix Top 10|Your Honor: Season 1 넷플릭스 한국 Top 10 10위|Your Honor|OTT,넷플릭스,신작,랭킹,Your,Honor,Season,TV|Netflix 공식 국가별 주간 Top 10에서 한국 10위. 카테고리: TV. 누적 Top 10 진입 4주. 집계 주간: 2026-09-13.|https://www.netflix.com/unsupportedbrowser|
2026-09-20|YouTube 반응|이 별로부터(Unknown Planet) 관련 YouTube 화제 영상|이 별로부터(Unknown Planet)|SNS,인기,IU,별로부터,Unknown,Planet,Live,Clip,이지금,아이유,이별로부터,YouTube,https,www,youtube,com|'IU '이 별로부터(Unknown Planet)' Live Clip' 영상이 공개 5일 기준 조회수 3,453,701회, 좋아요 32,102개, 댓글 1,991개를 기록. 일평균 조회수 약 690,740회. 채널: 이지금 [IU Official]. 수집 경로: 한국 인기 영상. 영상 유형: 일반 영상.|https://www.youtube.com/watch?v=ezRoEK2ttw0|https://i.ytimg.com/vi/ezRoEK2ttw0/hqdefault.jpg
2026-09-20|YouTube 반응|KOR vs USA Esports 1차전 관련 YouTube 화제 영상|KOR vs USA Esports 1차전|인기,KOR,vs,USA,Esports,1차전,한화생명,초청,리그,오브,레전드,국가대표,평가전,한국e스포츠협회,2026,아이치|"'KOR vs USA Esports 1차전 하이라이트 | 한화생명 초청 리그 오브 레전드 국가대표 평가전' 영상이 공개 3일 기준 조회수 1,003,160회, 좋아요 4,034개, 댓글 1,426개를 기록. 일평균 조회수 약 334,387회. 채널: 한국e스포츠협회. 수집 경로: 한국 인기 영상. 영상 유형: 일반 영상."|https://www.youtube.com/watch?v=z0ihuKDvr4U|https://i.ytimg.com/vi/z0ihuKDvr4U/hqdefault.jpg
2026-09-20|YouTube 반응|직장인들 시즌3 관련 YouTube 화제 영상|직장인들 시즌3|공식채널,Coupang,Play,연봉,얼마나,받아요,직장인들,시즌3,4화,쿠팡플레이,DY기획,기강,잡는,조합,출동,주학건설|'연봉 얼마나 받아요? [직장인들 시즌3] 4화 하이라이트' 영상이 공개 3일 기준 조회수 1,227,313회, 좋아요 1,848개, 댓글 191개를 기록. 일평균 조회수 약 409,104회. 채널: 쿠팡플레이 Coupang Play. 수집 경로: 공식채널:Coupang Play. 영상 유형: 일반 영상.|https://www.youtube.com/watch?v=uUW2uyyWzdY|https://i.ytimg.com/vi/uUW2uyyWzdY/hqdefault.jpg
2026-09-20|YouTube 반응|2026 챔피언스 풀 업그레이드 관련 YouTube 화제 영상|2026 챔피언스 풀 업그레이드|리뷰,음악,인기,음악부터,마무리,모션까지,작정하고,만든,26,챔스,스킨,거기다,두가지,버전의,크로마까지,2026|"'음악부터 마무리 모션까지 작정하고 만든 ""26 챔스 스킨""... 거기다 두가지 버전의 크로마까지ㅋㅋㅋㅋ [2026 챔피언스 풀 업그레이드 리뷰]' 영상이 공개 3일 기준 조회수 462,533회, 좋아요 4,494개, 댓글 615개를 기록. 일평균 조회수 약 154,178회. 채널: 김된모. 수집 경로: 한국 인기 영상. 영상 유형: 일반 영상."|https://www.youtube.com/watch?v=yWJRTxpP52M|https://i.ytimg.com/vi/yWJRTxpP52M/hqdefault.jpg
2026-09-20|YouTube 반응|B-CAMP 관련 YouTube 화제 영상|B-CAMP|애니,인기,BAILEY,CAMP,ALLDAY,PROJECT,More,about,https,www,youtube,com,instagram,allday,project,facebook|"'BAILEY ‘B-CAMP’ | ALLDAY PROJECT' 영상이 공개 4일 기준 조회수 399,445회, 좋아요 9,868개, 댓글 615개를 기록. 일평균 조회수 약 99,861회. 채널: ALLDAY PROJECT. 수집 경로: 한국 인기 영상. 영상 유형: 일반 영상."|https://www.youtube.com/watch?v=ooJP6-l_QOs|https://i.ytimg.com/vi/ooJP6-l_QOs/hqdefault.jpg
2026-09-20|YouTube 반응|나루토 관련 YouTube 화제 영상|나루토|인기,이홍기,PLAY,버즈,Buzz,활주,나루토,여는,노래,cover,홍기종기,이횽시간,지금,재생중,이홍기의,목소리를|'이홍기 PLAY ▶ 버즈(Buzz) - 활주 ('나루토' 여는 노래) #cover' 영상이 공개 6일 기준 조회수 385,050회, 좋아요 5,263개, 댓글 558개를 기록. 일평균 조회수 약 64,175회. 채널: 홍기종기 (이홍기). 수집 경로: 한국 인기 영상. 영상 유형: 일반 영상.|https://www.youtube.com/watch?v=v7sfQ90al90|https://i.ytimg.com/vi/v7sfQ90al90/hqdefault.jpg
2026-09-20|온라인 화제·뉴스|저스틴 민 첫 한국 영화 주연작 ‘흐르는 여정’ 10월 28일 개봉 확정 - 스페셜타임스|흐르는 여정|영화,신작,개봉,저스틴,주연작,흐르는,여정,10월,28일,확정,스페셜타임스|저스틴 민 첫 한국 영화 주연작 ‘흐르는 여정’ 10월 28일 개봉 확정 스페셜타임스|https://www.specialtimes.co.kr/news/articleView.html?idxno=465211|https://cdn.specialtimes.co.kr/news/thumbnail/202609/465211_460024_1548_v150.jpg
2026-09-19|YouTube 반응|메이드 인 코리아 시즌2 관련 YouTube 화제 영상|메이드 인 코리아 시즌2|드라마,영화,넷플릭스,공개,리뷰,검색,메이드,시즌2,6화,선공개,마지막화에,걸맞게,본격적인,심리전,의심되는,이중|"'《메이드 인 코리아 시즌2》 5-6화 선공개🔥 마지막화에 걸맞게 본격적인 ""심리전""과 의심되는 ""이중 스파이""까지ㄷㄷ 최종화 떡밥들 총정리🔥 디즈니+ 드라마는 이걸로 종결...' 영상이 공개 4일 기준 조회수 1,646,084회, 좋아요 3,823개, 댓글 881개를 기록. 일평균 조회수 약 411,521회. 채널: 엘플릭스 [LPLIX]. 수집 경로: 검색:한국 드라마 리뷰. 영상 유형: 일반 영상."|https://www.youtube.com/watch?v=_4vTTWUpr0M|https://i.ytimg.com/vi/_4vTTWUpr0M/hqdefault.jpg
2026-09-19|YouTube 반응|멋진 신세계 가 볼 생각 있습니까? 관련 YouTube 화제 영상|멋진 신세계 가 볼 생각 있습니까?|영화,웨이브,공식채널,wavve,멋진,신세계,생각,있습니까,커뮤니티2,바로,보기,https,site,naver,com,2fV22|'멋진 신세계 가 볼 생각 있습니까?' 영상이 공개 4일 기준 조회수 599,020회, 좋아요 1,806개, 댓글 836개를 기록. 일평균 조회수 약 149,755회. 채널: wavve 웨이브. 수집 경로: 공식채널:wavve. 영상 유형: 일반 영상.|https://www.youtube.com/watch?v=RnetBTnYzEY|https://i.ytimg.com/vi/RnetBTnYzEY/hqdefault.jpg
2026-09-19|YouTube 반응|1위 관련 YouTube 화제 영상|1위|드라마,영화,OTT,넷플릭스,신작,공개,리뷰,결말,스릴러,검색,반응,단언컨대,2026년,하반기,1위,인류|"'단언컨대 2026년 하반기 ""1위"".. 🔥인류 역사 최강🔥의 특수부대 이야기를 다룬 레전드 영화' 영상이 공개 4일 기준 조회수 917,925회, 좋아요 1,771개, 댓글 115개를 기록. 일평균 조회수 약 229,481회. 채널: movie trip 무비트립. 수집 경로: 검색:영화 요약 / 검색:OTT 신작 반응. 영상 유형: 일반 영상."|https://www.youtube.com/watch?v=gGztXdfSPmA|https://i.ytimg.com/vi/gGztXdfSPmA/hqdefault.jpg
2026-09-19|YouTube 반응|아침부터 왜 히스테리세요..? 관련 YouTube 화제 영상|아침부터 왜 히스테리세요..?|티빙,공식채널,TVING,아침부터,히스테리세요,로또1등도출근합니다,팀장님,저도,출근,싫어요,짜증,내시는,거예요,바로가기,https,tving|"'아침부터 왜 히스테리세요..? | TVING | #로또1등도출근합니다' 영상이 공개 5일 기준 조회수 736,234회, 좋아요 3,460개, 댓글 362개를 기록. 일평균 조회수 약 147,247회. 채널: TVING 티빙. 수집 경로: 공식채널:TVING. 영상 유형: 쇼츠/숏폼 후보."|https://www.youtube.com/watch?v=lEaEMJSnZL8|https://i.ytimg.com/vi/lEaEMJSnZL8/hqdefault.jpg
2026-09-19|YouTube 반응|... 근데 내 카드는 2차에만 써 관련 YouTube 화제 영상|... 근데 내 카드는 2차에만 써|티빙,공식채널,TVING,근데,카드는,2차에만,로또1등도출근합니다,일단,생색은,내가,낼게,비싼,부장님,카드로,결제해,바로가기|"'... 근데 내 카드는 2차에만 써 | TVING | #로또1등도출근합니다' 영상이 공개 4일 기준 조회수 646,959회, 좋아요 5,555개, 댓글 216개를 기록. 일평균 조회수 약 161,740회. 채널: TVING 티빙. 수집 경로: 공식채널:TVING. 영상 유형: 쇼츠/숏폼 후보."|https://www.youtube.com/watch?v=gFp8Vs5_SjE|https://i.ytimg.com/vi/gFp8Vs5_SjE/hqdefault.jpg
2026-09-19|KOBIS 박스오피스|인턴 일일 박스오피스 1위|인턴|영화,박스오피스,흥행,인턴|2026-09-18 KOBIS 일별 박스오피스 1위. 일일 관객 61,142명, 누적 관객 189,862명, 매출 점유율 24.8%. 전일 대비 순위 변화 +0.|https://www.kobis.or.kr/kobis/business/stat/boxs/findDailyBoxOfficeList.do|
2026-09-19|KOBIS 박스오피스|오디세이 일일 박스오피스 2위|오디세이|영화,박스오피스,흥행,오디세이|2026-09-18 KOBIS 일별 박스오피스 2위. 일일 관객 55,192명, 누적 관객 11,016,040명, 매출 점유율 30.5%. 전일 대비 순위 변화 +0.|https://www.kobis.or.kr/kobis/business/stat/boxs/findDailyBoxOfficeList.do|
2026-09-19|KOBIS 박스오피스|옵세션 일일 박스오피스 3위|옵세션|영화,박스오피스,흥행,옵세션|2026-09-18 KOBIS 일별 박스오피스 3위. 일일 관객 31,449명, 누적 관객 601,695명, 매출 점유율 14.4%. 전일 대비 순위 변화 +1.|https://www.kobis.or.kr/kobis/business/stat/boxs/findDailyBoxOfficeList.do|
2026-09-19|KOBIS 박스오피스|레지던트 이블: 0번째 밤 일일 박스오피스 4위|레지던트 이블: 0번째 밤|영화,박스오피스,흥행,레지던트,이블,0번째|2026-09-18 KOBIS 일별 박스오피스 4위. 일일 관객 21,382명, 누적 관객 44,257명, 매출 점유율 9.3%. 전일 대비 순위 변화 -1.|https://www.kobis.or.kr/kobis/business/stat/boxs/findDailyBoxOfficeList.do|
2026-09-19|KOBIS 박스오피스|스파이더맨: 브랜드 뉴 데이 일일 박스오피스 5위|스파이더맨: 브랜드 뉴 데이|영화,박스오피스,흥행,스파이더맨,브랜드,데이|2026-09-18 KOBIS 일별 박스오피스 5위. 일일 관객 6,108명, 누적 관객 8,963,072명, 매출 점유율 2.2%. 전일 대비 순위 변화 +1.|https://www.kobis.or.kr/kobis/business/stat/boxs/findDailyBoxOfficeList.do|
2026-09-19|KOBIS 박스오피스|부활남: 더 레드 박스오피스 신규 진입 6위|부활남: 더 레드|영화,박스오피스,흥행,부활남,레드|2026-09-18 KOBIS 일별 박스오피스 6위. 일일 관객 5,124명, 누적 관객 6,350명, 매출 점유율 2.1%. 신규 진입.|https://www.kobis.or.kr/kobis/business/stat/boxs/findDailyBoxOfficeList.do|
2026-09-19|KOBIS 박스오피스|암살자(들) 일일 박스오피스 7위|암살자(들)|영화,박스오피스,흥행,암살자|2026-09-18 KOBIS 일별 박스오피스 7위. 일일 관객 4,319명, 누적 관객 18,453명, 매출 점유율 1.7%. 전일 대비 순위 변화 -2.|https://www.kobis.or.kr/kobis/business/stat/boxs/findDailyBoxOfficeList.do|
2026-09-19|KOBIS 박스오피스|더 드라마 일일 박스오피스 8위|더 드라마|드라마,영화,박스오피스,흥행|2026-09-18 KOBIS 일별 박스오피스 8위. 일일 관객 2,892명, 누적 관객 73,459명, 매출 점유율 1.2%. 전일 대비 순위 변화 +0.|https://www.kobis.or.kr/kobis/business/stat/boxs/findDailyBoxOfficeList.do|
2026-09-19|KOBIS 박스오피스|시간을 달리는 소녀 일일 박스오피스 9위|시간을 달리는 소녀|영화,박스오피스,흥행,시간을,달리는,소녀|2026-09-18 KOBIS 일별 박스오피스 9위. 일일 관객 2,860명, 누적 관객 123,363명, 매출 점유율 1.4%. 전일 대비 순위 변화 -2.|https://www.kobis.or.kr/kobis/business/stat/boxs/findDailyBoxOfficeList.do|
2026-09-19|KOBIS 박스오피스|디지몬 어드벤처 : 운명적 만남 & 우리들의 워 게임! 일일 박스오피스 10위|디지몬 어드벤처 : 운명적 만남 & 우리들의 워 게임!|영화,박스오피스,흥행,디지몬,어드벤처,운명적,만남,우리들의,게임|2026-09-18 KOBIS 일별 박스오피스 10위. 일일 관객 2,005명, 누적 관객 8,313명, 매출 점유율 0.9%. 전일 대비 순위 변화 -1.|https://www.kobis.or.kr/kobis/business/stat/boxs/findDailyBoxOfficeList.do|
2026-09-18|YouTube 반응|사생결단 // 2026 챔피언스 스킨 공개 트레일러 관련 YouTube 화제 영상|사생결단 // 2026 챔피언스 스킨 공개 트레일러|공개,음악,감독,인기,사생결단,2026,챔피언스,스킨,트레일러,발로란트,화려한,연출과,역동적인,전환,효과가,돋보이는|'사생결단 // 2026 챔피언스 스킨 공개 트레일러 - 발로란트' 영상이 공개 4일 기준 조회수 272,209회, 좋아요 2,847개, 댓글 565개를 기록. 일평균 조회수 약 68,052회. 채널: 발로란트. 수집 경로: 한국 인기 영상. 영상 유형: 일반 영상.|https://www.youtube.com/watch?v=1L_YY5ZoztM|https://i.ytimg.com/vi/1L_YY5ZoztM/hqdefault.jpg
2026-09-18|YouTube 반응|어벤져스: 둠스데이 관련 YouTube 화제 영상|어벤져스: 둠스데이|영화,명장면,인기,어벤져스,둠스데이,레고,버전,MarvelKorea,브릭을,하나씩,쌓아,올리며,향한,카운트다운이,시작됩니다,지금|'[어벤져스: 둠스데이] 레고 버전 예고편' 영상이 공개 4일 기준 조회수 570,082회, 좋아요 4,000개, 댓글 250개를 기록. 일평균 조회수 약 142,520회. 채널: MarvelKorea. 수집 경로: 한국 인기 영상. 영상 유형: 일반 영상.|https://www.youtube.com/watch?v=cJUMdxtNoEw|https://i.ytimg.com/vi/cJUMdxtNoEw/hqdefault.jpg
2026-09-18|YouTube 반응|남자는 맞고 시작하는 기다! 관련 YouTube 화제 영상|남자는 맞고 시작하는 기다!|드라마,영화,넷플릭스,쇼츠,결말,반전,출연,명장면,검색,남자는,맞고,시작하는,기다,몰입한방,응답하라,1994|'남자는 맞고 시작하는 기다!' 영상이 공개 6일 기준 조회수 1,525,872회, 좋아요 8,806개, 댓글 79개를 기록. 일평균 조회수 약 254,312회. 채널: 몰입한방. 수집 경로: 검색:드라마 명장면 쇼츠. 영상 유형: 쇼츠/숏폼 후보.|https://www.youtube.com/watch?v=i2-TA1EO8h8|https://i.ytimg.com/vi/i2-TA1EO8h8/hqdefault.jpg
2026-09-18|YouTube 반응|입학 첫 날부터 부산 통 노리는 박정태 관련 YouTube 화제 영상|입학 첫 날부터 부산 통 노리는 박정태|드라마,영화,넷플릭스,쇼츠,결말,반전,출연,명장면,검색,입학,날부터,부산,노리는,박정태,몰입한방,응답하라|'입학 첫 날부터 부산 통 노리는 박정태' 영상이 공개 5일 기준 조회수 1,132,668회, 좋아요 7,177개, 댓글 91개를 기록. 일평균 조회수 약 226,534회. 채널: 몰입한방. 수집 경로: 검색:드라마 명장면 쇼츠 / 검색:영화 명장면 쇼츠. 영상 유형: 쇼츠/숏폼 후보.|https://www.youtube.com/watch?v=LZxll2U1JxQ|https://i.ytimg.com/vi/LZxll2U1JxQ/hqdefault.jpg
2026-09-17|YouTube 반응|팡이요, 메이플스토리 관련 YouTube 화제 영상|팡이요, 메이플스토리|유튜브,인기,지금까지,초고자본,제논,육성기를,시청해,주셔서,감사합니다,팡이요,메이플스토리,풀버전은,SOOP,방송국,VOD에,자동|'지금까지 초고자본 제논 육성기를 시청해 주셔서 감사합니다 [팡이요, 메이플스토리]' 영상이 공개 6일 기준 조회수 475,882회, 좋아요 1,276개, 댓글 718개를 기록. 일평균 조회수 약 79,314회. 채널: 팡이요. 수집 경로: 한국 인기 영상. 영상 유형: 일반 영상.|https://www.youtube.com/watch?v=FpVzQFPf4qA|https://i.ytimg.com/vi/FpVzQFPf4qA/hqdefault.jpg
2026-09-17|YouTube 반응|메이드 인 코리아 시즌 2 관련 YouTube 화제 영상|메이드 인 코리아 시즌 2|드라마,영화,넷플릭스,공개,리뷰,검색,메이드,시즌,다음화,떴다,드디어,풀린,현빈의,과거,부터,본격|"'《메이드 인 코리아 시즌 2》 다음화 떴다🔥드디어 풀린 현빈의 ""과거""부터 본격 ""암살전""까지ㄷㄷ 디즈니+ 드라마 왜 이렇게 재밌는데!' 영상이 공개 5일 기준 조회수 1,385,334회, 좋아요 2,893개, 댓글 806개를 기록. 일평균 조회수 약 277,067회. 채널: 엘플릭스 [LPLIX]. 수집 경로: 검색:한국 드라마 리뷰. 영상 유형: 일반 영상."|https://www.youtube.com/watch?v=ush5h815XqI|https://i.ytimg.com/vi/ush5h815XqI/hqdefault.jpg
2026-09-17|YouTube 반응|야수의 심장 관련 YouTube 화제 영상|야수의 심장|영화,OTT,리뷰,명장면,범죄,검색,혼이,담긴,구라를,제대로,때려박은,타짜,마지막,시리즈,벨제붑의,노래|'혼이 담긴 구라를 제대로 때려박은 타짜 마지막 시리즈ㅋㅋ🔥 ≪타짜: 벨제붑의 노래≫ 스티플 잡고도 죽는 ‘야수의 심장’을 가진 남자!' 영상이 공개 7일 기준 조회수 5,753,074회, 좋아요 7,852개, 댓글 1,576개를 기록. 일평균 조회수 약 821,868회. 채널: 씨네포유 cine4u. 수집 경로: 검색:영화 요약. 영상 유형: 일반 영상.|https://www.youtube.com/watch?v=e03Dgo1B6DI|https://i.ytimg.com/vi/e03Dgo1B6DI/hqdefault.jpg
2026-09-17|YouTube 반응|재혼 황후 관련 YouTube 화제 영상|재혼 황후|디즈니플러스,공개,인기,재혼,황후,메인,디즈니,Disney,Plus,플러스,처음으로,사랑을,의심했다,정해진,운명에,머물|"'재혼 황후 | 메인 예고편 | 디즈니+' 영상이 공개 4일 기준 조회수 1,459,345회, 좋아요 4,298개, 댓글 1,050개를 기록. 일평균 조회수 약 364,836회. 채널: Disney Plus Korea 디즈니 플러스 코리아. 수집 경로: 한국 인기 영상. 영상 유형: 일반 영상."|https://www.youtube.com/watch?v=ePBZ8oF-0WI|https://i.ytimg.com/vi/ePBZ8oF-0WI/hqdefault.jpg
